tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
294,54:21.6,59:16.6,3187,Warren St,40.7211236,-74.03805095,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,45256,Customer,1970,0
1552,55:27.6,21:20.3,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,45499,Customer,1970,0
322,58:26.7,03:49.2,3638,Washington St,40.7242941,-74.0354826,3681,Grand St,40.71517768,-74.03768331,44425,Subscriber,1956,1
723,03:29.4,15:33.3,3678,Fairmount Ave,40.72572614,-74.07195926,3677,Glenwood Ave,40.72755147,-74.07106072,42219,Customer,1970,0
140,06:54.5,09:14.8,3639,Harborside,40.7192517,-74.034234,3187,Warren St,40.7211236,-74.03805095,32349,Subscriber,1987,1
1804,07:27.8,37:32.0,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,54260,Customer,1970,0
2229,16:13.2,53:22.6,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,46265,Customer,1970,0
640,25:37.9,36:18.7,3210,Pershing Field,40.74267714,-74.05178863,3679,Bergen Ave,40.72210379,-74.071455,44684,Customer,1970,0
869,26:36.1,41:05.8,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3185,City Hall,40.7177325,-74.043845,44556,Customer,1970,0
1305,27:21.9,49:07.8,3186,Grove St PATH,40.71958612,-74.04311746,3638,Washington St,40.7242941,-74.0354826,48923,Customer,1970,0
1206,28:00.3,48:07.2,3639,Harborside,40.7192517,-74.034234,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42422,Customer,1970,0
1111,29:35.8,48:07.0,3639,Harborside,40.7192517,-74.034234,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42147,Customer,1970,0
501,34:20.1,42:41.6,3184,Paulus Hook,40.7141454,-74.0335519,3276,Marin Light Rail,40.71458404,-74.04281706,42358,Customer,1970,0
398,35:10.0,41:48.5,3272,Jersey & 3rd,40.72333159,-74.04595256,3681,Grand St,40.71517768,-74.03768331,30360,Customer,1970,0
544,35:17.2,44:22.0,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,44872,Customer,1970,0
314,42:26.0,47:40.0,3207,Oakland Ave,40.7376037,-74.0524783,3196,Riverview Park,40.7443187,-74.0439909,40464,Customer,1970,0
1067,42:26.2,00:14.1,3677,Glenwood Ave,40.72755147,-74.07106072,3278,Monmouth and 6th,40.72568548,-74.04879034,42219,Customer,1970,0
99,47:00.5,48:40.2,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,44555,Customer,1970,0
433,47:54.4,55:07.4,3192,Liberty Light Rail,40.7112423,-74.0557013,3213,Van Vorst Park,40.71848892,-74.04772663,39055,Customer,1970,0
304,49:29.0,54:33.6,3273,Manila & 1st,40.72165072,-74.04288411,3276,Marin Light Rail,40.71458404,-74.04281706,42277,Customer,1970,0
105,49:30.9,51:16.5,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,43332,Customer,1970,0
388,51:48.2,58:16.7,3681,Grand St,40.71517768,-74.03768331,3202,Newport PATH,40.7272235,-74.0337589,44425,Subscriber,1956,1
1734,53:18.7,22:13.1,3638,Washington St,40.7242941,-74.0354826,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,44555,Customer,1970,0
444,53:43.1,01:07.2,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.7112423,-74.0557013,48739,Customer,1970,0
1691,53:48.6,22:00.6,3638,Washington St,40.7242941,-74.0354826,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42538,Customer,1970,0
425,57:47.2,04:53.0,3214,Essex Light Rail,40.7127742,-74.0364857,3186,Grove St PATH,40.71958612,-74.04311746,32440,Customer,1970,0
295,00:48.7,05:43.8,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,45340,Customer,1970,0
1480,01:53.3,26:33.7,3202,Newport PATH,40.7272235,-74.0337589,3202,Newport PATH,40.7272235,-74.0337589,28874,Customer,1970,0
472,05:01.0,12:53.4,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,42432,Subscriber,1962,1
419,05:37.4,12:36.6,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,26802,Customer,1970,0
2224,06:46.3,43:51.3,3192,Liberty Light Rail,40.7112423,-74.0557013,3276,Marin Light Rail,40.71458404,-74.04281706,48922,Customer,1970,0
699,07:35.7,19:15.4,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.7308971,-74.06391263,17231,Customer,1970,0
2206,07:40.8,44:27.4,3192,Liberty Light Rail,40.7112423,-74.0557013,3276,Marin Light Rail,40.71458404,-74.04281706,48911,Customer,1970,0
